id,created_at,lang,text,retweet_count,reply_count,like_count,quote_count,sentiment,gender
2000000,2024-04-25 16:22:00,en,My brain freezes when I see math problems,68,19,127,2,negative,other
2000001,2023-02-23 23:26:00,en,Feeling stressed before my algebra exam,131,40,174,47,negative,other
2000002,2024-02-16 05:31:00,en,Math puzzles are the best brain exercise,204,79,972,48,positive,other
2000003,2021-05-01 11:19:00,en,"Failed my math test again, so frustrated",379,31,643,43,negative,male
2000004,2021-09-07 01:51:00,en,Feeling confident for my math exam,205,63,296,50,positive,other
2000005,2023-10-22 03:35:00,en,"Failed my math test again, so frustrated",201,83,785,5,negative,other
2000006,2022-02-08 03:31:00,en,Completely lost in statistics class,434,76,163,24,negative,female
2000007,2023-02-26 17:23:00,en,Scored 100% on my algebra test!,103,40,566,20,positive,male
2000008,2022-12-16 01:32:00,en,Statistics can actually be fun,236,12,979,2,positive,male
2000009,2023-08-03 06:00:00,en,I can't handle these equations anymore,430,81,937,16,negative,female
2000010,2024-05-05 15:46:00,en,Attending a calculus lecture this afternoon,388,32,127,36,neutral,other
2000011,2022-12-28 03:51:00,en,"Failed my math test again, so frustrated",400,85,641,50,negative,female
2000012,2024-05-21 15:46:00,en,This math homework is giving me a headache,487,77,671,4,negative,female
2000013,2024-02-21 17:33:00,en,Feeling stressed before my algebra exam,486,88,657,0,negative,male
2000014,2023-03-03 17:43:00,en,Studying math for tomorrow's class,441,25,618,21,neutral,male
2000015,2021-12-16 03:50:00,en,"Failed my math test again, so frustrated",235,37,486,16,negative,female
2000016,2021-05-26 12:32:00,en,Scored 100% on my algebra test!,401,63,901,46,positive,other
2000017,2024-05-27 15:15:00,en,Why is trigonometry so hard?,49,23,826,19,negative,female
2000018,2021-09-26 21:45:00,en,Learning about derivatives and integrals,359,26,403,33,neutral,male
2000019,2022-06-17 00:24:00,en,Math club meets today,396,35,307,35,neutral,male
2000020,2021-09-14 17:16:00,en,Why is trigonometry so hard?,57,86,388,17,negative,female
2000021,2023-06-14 00:54:00,en,Math anxiety is ruining my grades,116,90,370,14,negative,other
2000022,2024-06-22 05:13:00,en,Practicing some math exercises,379,87,761,6,neutral,male
2000023,2024-07-20 00:33:00,en,Math class is scheduled at 2pm,135,79,631,9,neutral,other
2000024,2021-06-13 09:06:00,en,Going over my statistics assignment,238,4,473,5,neutral,female
2000025,2021-12-22 07:06:00,en,Reviewing geometry notes,498,23,295,23,neutral,other
2000026,2023-10-31 06:44:00,en,Enjoying solving complex equations,408,56,579,25,positive,male
2000027,2023-11-30 16:21:00,en,Reviewing geometry notes,263,92,703,23,neutral,female
2000028,2023-01-04 23:00:00,en,Feeling confident for my math exam,37,28,140,21,positive,other
2000029,2022-02-25 05:38:00,en,Scored 100% on my algebra test!,277,54,32,13,positive,male
2000030,2023-03-20 14:30:00,en,Math class is scheduled at 2pm,217,28,405,7,neutral,other
2000031,2024-08-18 02:44:00,en,I hate calculus so much,421,18,714,17,negative,male
2000032,2022-12-19 23:09:00,en,Going over my statistics assignment,215,15,828,23,neutral,male
2000033,2024-02-14 08:41:00,en,Reviewing geometry notes,117,18,423,15,neutral,female
2000034,2024-10-20 00:19:00,en,Proud of my progress in math class,485,27,916,2,positive,female
2000035,2023-07-11 01:47:00,en,Feeling stressed before my algebra exam,456,74,996,18,negative,male
2000036,2023-02-11 19:44:00,en,I can't handle these equations anymore,463,42,66,1,negative,other
2000037,2024-08-01 13:32:00,en,Math puzzles are the best brain exercise,303,32,833,16,positive,female
2000038,2021-01-30 09:21:00,en,"Failed my math test again, so frustrated",405,11,855,26,negative,male
2000039,2023-08-28 11:34:00,en,Proud of my progress in math class,1,55,866,22,positive,male
2000040,2021-12-13 02:32:00,en,Reviewing geometry notes,295,90,50,39,neutral,other
2000041,2022-03-21 11:09:00,en,Working on some algebra problems,497,88,429,38,neutral,male
2000042,2022-01-01 14:03:00,en,Math anxiety is ruining my grades,467,43,688,1,negative,other
2000043,2024-11-23 05:39:00,en,I can't handle these equations anymore,218,52,459,5,negative,other
2000044,2021-03-20 23:40:00,en,Math club meets today,379,51,441,21,neutral,female
2000045,2021-04-14 11:58:00,en,I can't handle these equations anymore,81,40,927,14,negative,female
2000046,2021-02-14 05:35:00,en,This math homework is giving me a headache,351,97,287,21,negative,male
2000047,2023-12-21 03:47:00,en,Math class is scheduled at 2pm,425,71,844,6,neutral,female
2000048,2023-10-25 17:44:00,en,Practicing some math exercises,396,34,126,15,neutral,female
2000049,2024-11-15 03:27:00,en,Reviewing geometry notes,420,27,261,19,neutral,female
2000050,2021-07-06 16:21:00,en,I can't handle these equations anymore,140,40,842,48,negative,other
2000051,2021-01-17 19:55:00,en,Scored 100% on my algebra test!,83,35,226,34,positive,male
2000052,2021-09-30 02:43:00,en,Had a great study session with friends for math,193,20,386,39,positive,female
2000053,2023-07-24 00:16:00,en,Panic sets in every time I open my math textbook,323,78,617,49,negative,male
2000054,2024-12-07 22:18:00,en,"Failed my math test again, so frustrated",417,88,711,16,negative,male
2000055,2024-12-30 14:36:00,en,Scored 100% on my algebra test!,54,96,472,0,positive,female
2000056,2024-10-07 08:12:00,en,Proud of my progress in math class,347,61,931,4,positive,male
2000057,2022-06-10 19:43:00,en,"Failed my math test again, so frustrated",27,46,961,50,negative,female
2000058,2024-09-25 12:23:00,en,Statistics can actually be fun,399,19,191,21,positive,other
2000059,2023-10-13 21:10:00,en,Math puzzles are the best brain exercise,154,95,219,50,positive,other
2000060,2022-08-30 01:33:00,en,Studying math for tomorrow's class,172,12,228,48,neutral,male
