id,created_at,lang,text,retweet_count,reply_count,like_count,quote_count,sentiment,gender,clean_text,tokens,lemmas,processed_text
2000000,2024/4/25 16:22,en,My brain freezes when I see math problems,68,19,127,2,negative,other,my brain freezes when i see math problems,"['my', 'brain', 'freezes', 'when', 'i', 'see', 'math', 'problems']","['my', 'brain', 'freez', 'when', 'i', 'see', 'math', 'problem']",my brain freez when i see math problem
2000001,2023/2/23 23:26,en,Feeling stressed before my algebra exam,131,40,174,47,negative,other,feeling stressed before my algebra exam,"['feeling', 'stressed', 'before', 'my', 'algebra', 'exam']","['feel', 'stress', 'befor', 'my', 'algebra', 'exam']",feel stress befor my algebra exam
2000002,2024/2/16 5:31,en,Math puzzles are the best brain exercise,204,79,972,48,positive,other,math puzzles are the best brain exercise,"['math', 'puzzles', 'are', 'the', 'best', 'brain', 'exercise']","['math', 'puzzl', 'are', 'the', 'best', 'brain', 'exercis']",math puzzl are the best brain exercis
2000003,2021/5/1 11:19,en,"Failed my math test again, so frustrated",379,31,643,43,negative,male,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000004,2021/9/7 1:51,en,Feeling confident for my math exam,205,63,296,50,positive,other,feeling confident for my math exam,"['feeling', 'confident', 'for', 'my', 'math', 'exam']","['feel', 'confid', 'for', 'my', 'math', 'exam']",feel confid for my math exam
2000005,2023/10/22 3:35,en,"Failed my math test again, so frustrated",201,83,785,5,negative,other,"failed my math test again, so frustrated","['failed', 'my', 'math', 'test', 'again', 'so', 'frustrated']","['fail', 'my', 'math', 'test', 'again', 'so', 'frustrat']",fail my math test again so frustrat
2000006,2022/2/8 3:31,en,Completely lost in statistics class,434,76,163,24,negative,female,completely lost in statistics class,"['completely', 'lost', 'in', 'statistics', 'class']","['complet', 'lost', 'in', 'statist', 'class']",complet lost in statist class
2000007,2023/2/26 17:23,en,Scored 100% on my algebra test!,103,40,566,20,positive,male,scored 100 on my algebra test!,"['scored', '100', 'on', 'my', 'algebra', 'test']","['score', '100', 'on', 'my', 'algebra', 'test']",score 100 on my algebra test
2000008,2022/12/16 1:32,en,Statistics can actually be fun,236,12,979,2,positive,male,statistics can actually be fun,"['statistics', 'can', 'actually', 'be', 'fun']","['statist', 'can', 'actual', 'be', 'fun']",statist can actual be fun
2000009,2023/8/3 6:00,en,I can't handle these equations anymore,430,81,937,16,negative,female,i can't handle these equations anymore,"['i', ""can't"", 'handle', 'these', 'equations', 'anymore']","['i', ""can't"", 'handl', 'these', 'equat', 'anymor']",i can't handl these equat anymor
