id,created_at,month,text,sentiment,sent_label,is_negative,topic_id,topic_weight
2000000,2024-04-25 16:22:00,2024-04-01,My brain freezes when I see math problems,negative,negative,1,7,0.7777535
2000001,2023-02-23 23:26:00,2023-02-01,Feeling stressed before my algebra exam,negative,negative,1,2,0.82221305
2000002,2024-02-16 05:31:00,2024-02-01,Math puzzles are the best brain exercise,positive,positive,0,7,0.8222013
2000003,2021-05-01 11:19:00,2021-05-01,"Failed my math test again, so frustrated",negative,negative,1,7,0.7037036
2000004,2021-09-07 01:51:00,2021-09-01,Feeling confident for my math exam,positive,positive,0,2,0.703698
2000005,2023-10-22 03:35:00,2023-10-01,"Failed my math test again, so frustrated",negative,negative,1,7,0.7037036
2000006,2022-02-08 03:31:00,2022-02-01,Completely lost in statistics class,negative,negative,1,1,0.82220703
2000007,2023-02-26 17:23:00,2023-02-01,Scored 100% on my algebra test!,positive,positive,0,2,0.7036787
2000008,2022-12-16 01:32:00,2022-12-01,Statistics can actually be fun,positive,positive,0,8,0.77768284
2000009,2023-08-03 06:00:00,2023-08-01,I can't handle these equations anymore,negative,negative,1,4,0.8222215
2000010,2024-05-05 15:46:00,2024-05-01,Attending a calculus lecture this afternoon,neutral,neutral,0,3,0.85185164
2000011,2022-12-28 03:51:00,2022-12-01,"Failed my math test again, so frustrated",negative,negative,1,7,0.7037036
2000012,2024-05-21 15:46:00,2024-05-01,This math homework is giving me a headache,negative,negative,1,3,0.77777743
2000013,2024-02-21 17:33:00,2024-02-01,Feeling stressed before my algebra exam,negative,negative,1,2,0.8222145
2000014,2023-03-03 17:43:00,2023-03-01,Studying math for tomorrow's class,neutral,neutral,0,8,0.77776796
2000015,2021-12-16 03:50:00,2021-12-01,"Failed my math test again, so frustrated",negative,negative,1,7,0.7037036
2000016,2021-05-26 12:32:00,2021-05-01,Scored 100% on my algebra test!,positive,positive,0,2,0.70367086
2000017,2024-05-27 15:15:00,2024-05-01,Why is trigonometry so hard?,negative,negative,1,0,0.7777777
2000018,2021-09-26 21:45:00,2021-09-01,Learning about derivatives and integrals,neutral,neutral,0,2,0.7777773
2000019,2022-06-17 00:24:00,2022-06-01,Math club meets today,neutral,neutral,0,0,0.77777743
2000020,2021-09-14 17:16:00,2021-09-01,Why is trigonometry so hard?,negative,negative,1,0,0.7777777
2000021,2023-06-14 00:54:00,2023-06-01,Math anxiety is ruining my grades,negative,negative,1,2,0.7777774
2000022,2024-06-22 05:13:00,2024-06-01,Practicing some math exercises,neutral,neutral,0,5,0.70369947
2000023,2024-07-20 00:33:00,2024-07-01,Math class is scheduled at 2pm,neutral,neutral,0,8,0.7036822
2000024,2021-06-13 09:06:00,2021-06-01,Going over my statistics assignment,neutral,neutral,0,5,0.7036934
2000025,2021-12-22 07:06:00,2021-12-01,Reviewing geometry notes,neutral,neutral,0,8,0.7777771
2000026,2023-10-31 06:44:00,2023-10-01,Enjoying solving complex equations,positive,positive,0,1,0.8221414
2000027,2023-11-30 16:21:00,2023-11-01,Reviewing geometry notes,neutral,neutral,0,8,0.7777771
2000028,2023-01-04 23:00:00,2023-01-01,Feeling confident for my math exam,positive,positive,0,2,0.703698
2000029,2022-02-25 05:38:00,2022-02-01,Scored 100% on my algebra test!,positive,positive,0,2,0.70367825
2000030,2023-03-20 14:30:00,2023-03-01,Math class is scheduled at 2pm,neutral,neutral,0,8,0.7036804
2000031,2024-08-18 02:44:00,2024-08-01,I hate calculus so much,negative,negative,1,3,0.70370346
2000032,2022-12-19 23:09:00,2022-12-01,Going over my statistics assignment,neutral,neutral,0,5,0.7036933
2000033,2024-02-14 08:41:00,2024-02-01,Reviewing geometry notes,neutral,neutral,0,8,0.7777771
2000034,2024-10-20 00:19:00,2024-10-01,Proud of my progress in math class,positive,positive,0,1,0.777771
2000035,2023-07-11 01:47:00,2023-07-01,Feeling stressed before my algebra exam,negative,negative,1,2,0.8222145
2000036,2023-02-11 19:44:00,2023-02-01,I can't handle these equations anymore,negative,negative,1,4,0.8222216
